kinopoiskId,close
300,"[1285, 430, 2422, 412, 2260]"
301,"[1279, 2022, 2696, 2205, 2622]"
302,"[2513, 1285, 430, 2422, 2355]"
303,"[1135, 1137, 1131, 1144, 1170]"
304,"[1125, 1124, 1126, 1127, 1160]"
305,"[1125, 1124, 1126, 1127, 1160]"
306,"[567, 1279, 2011, 2241, 323]"
307,"[2300, 1125, 1124, 1126, 1127]"
308,"[1125, 1124, 1126, 1128, 1145]"
309,"[1279, 2341, 2277, 604, 752]"
310,"[1169, 1153, 2513, 322, 1285]"
311,"[567, 1273, 1279, 2011, 2560]"
312,"[1232, 1142, 328, 1165, 2068]"
313,"[1180, 1285, 792, 736, 622]"
314,"[1125, 1124, 1126, 1128, 1145]"
316,"[1279, 2022, 2696, 2205, 2622]"
317,"[1135, 1137, 1131, 1144, 1170]"
318,"[567, 2011, 2241, 323, 2697]"
319,"[1279, 2022, 2696, 2205, 2622]"
320,"[2300, 1125, 1124, 1126, 1128]"
321,"[2323, 2680, 406, 1279, 2022]"
322,"[2513, 1285, 430, 2546, 2422]"
323,"[567, 2011, 2241, 2697, 633]"
324,"[421, 2300, 2442, 516, 637]"
325,"[2300, 1125, 1124, 1126, 1127]"
326,"[2300, 1125, 1124, 1126, 1128]"
327,"[2300, 1125, 1124, 1126, 1127]"
328,"[1232, 1142, 1165, 2068, 2513]"
329,"[1156, 2660, 475, 399, 427]"
330,"[1135, 1137, 1131, 1144, 1170]"
331,"[2300, 1125, 1124, 1126, 1128]"
332,"[567, 1279, 2746, 1294, 2241]"
333,"[2022, 2205, 2622, 2431, 321]"
334,"[1277, 1279, 2053, 2240, 2233]"
335,"[1125, 1132, 1167, 2035, 2300]"
336,"[2300, 1125, 1124, 1126, 1128]"
337,"[1125, 1132, 1167, 700, 798]"
338,"[2022, 2205, 2622, 333, 2431]"
339,"[2022, 673, 783, 633, 2066]"
340,"[1125, 1132, 1167, 2035, 2300]"
341,"[1135, 1137, 1131, 1144, 1170]"
342,"[2300, 1125, 1124, 1126, 1127]"
343,"[903, 1125, 1132, 1167, 700]"
344,"[2269, 2240, 2233, 917, 345]"
345,"[1125, 1132, 1167, 2035, 2269]"
346,"[2300, 1125, 1132, 1166, 1167]"
347,"[2660, 475, 1142, 1156, 1123]"
348,"[1169, 1153, 2513, 1285, 2056]"
349,"[1142, 2072, 2037, 2086, 2661]"
350,"[2300, 421, 2442, 516, 637]"
351,"[2300, 1125, 1124, 1126, 1128]"
352,"[426, 950, 366, 1125, 1132]"
353,"[1125, 1124, 1126, 1127, 1160]"
354,"[781, 2602, 612, 392, 877]"
355,"[1156, 1123, 626, 347, 329]"
356,"[2241, 2300, 923, 1166, 1289]"
357,"[2300, 1125, 1124, 1126, 1127]"
358,"[2300, 1125, 1124, 1126, 1127]"
359,"[1125, 1132, 426, 364, 950]"
360,"[1170, 1175, 1142, 1156, 1168]"
