kinopoiskId,imdbId,posterUrl,posterUrlPreview,coverUrl,logoUrl,ratingImdb,webUrl,year,filmLength,slogan,description,shortDescription,editorAnnotation,isTicketsAvailable,productionStatus,type,ratingMpaa,ratingAgeLimits,countries,genres,startYear,endYear,serial,shortFilm,completed,lastSync,name
300,tt0306841,https://kinopoiskapiunofficial.tech/images/posters/kp/300.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/300.jpg,https://avatars.mds.yandex.net/get-ott/374297/2a00000177fbf21f44f8c5101cfb16d448ed/orig,https://avatars.mds.yandex.net/get-ott/1672343/2a00000177fccf7ff6db2d0668e206ea47df/orig,5.5,https://www.kinopoisk.ru/film/300/,2003,94,Lizze McGuire goes to Rome.,"Тринадцатилетняя школьница Лиззи Магуайер и ее приятели Гордо, Кейт и Эсан собираются оттянуться по полной программе во время их поездки с классом в Италию.

Но там случается весьма неожиданное происшествие: девочку ошибочно принимают за итальянскую поп-звезду Изабеллу, да к тому же девушка влюбляется в бывшего дружка Изабеллы Паоло. Когда родители Лизи обо всем узнают, они вместе с ее братом Мэттом срочно вылетают в Италию.

Но Лиззи уже не та закомплексованная девочка-подросток, кем была раньше, она до такой степени вжилась в роль певицы, что и на самом деле стала самой настоящей звездой.","Лиззи едет в Рим, где ее принимают за поп-звезду. Финальные похождения школьницы в исполнении Хилари Дафф",,False,,FILM,pg,age12,[{'country': 'США'}],"['мелодрама', 'приключения', 'комедия', 'музыка', 'семейный']",,,False,False,False,2022-08-28T01:00:52.020922,Лиззи Магуайр
301,,https://kinopoiskapiunofficial.tech/images/posters/kp/301.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/301.jpg,https://avatars.mds.yandex.net/get-ott/1672343/2a0000016cc7177239d4025185c488b1bf43/orig,,8.7,https://www.kinopoisk.ru/film/301/,1999,136,Добро пожаловать в реальный мир,"Жизнь Томаса Андерсона разделена на две части: днём он — самый обычный офисный работник, получающий нагоняи от начальства, а ночью превращается в хакера по имени Нео, и нет места в сети, куда он бы не смог проникнуть. Но однажды всё меняется. Томас узнаёт ужасающую правду о реальности.","Хакер Нео узнает, что его мир — виртуальный. Выдающийся экшен, доказавший, что зрелищное кино может быть умным",,False,,FILM,r,age16,"[{'country': 'США'}, {'country': 'Австралия'}]","['фантастика', 'боевик']",,,False,False,False,2022-09-05T21:10:29.461722,Матрица
302,tt0311289,https://kinopoiskapiunofficial.tech/images/posters/kp/302.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/302.jpg,https://avatars.mds.yandex.net/get-ott/212840/2a00000176b506f42c92dfd7cd530730d6d2/orig,https://avatars.mds.yandex.net/get-ott/200035/2a00000176b5072215d3027a7bf4297de007/orig,7.0,https://www.kinopoisk.ru/film/302/,2003,117,"Кто ищет, тот всегда найдёт","Стэнли арестован по ложному обвинению в краже кроссовок и отправлен в трудовой лагерь, расположенный в техасской пустыне. Воспитатели «закаляют характер» подростков странным наказанием. Ребята копают ямы в иссушенной земле, но не знают, что их на самом деле используют для раскопок таинственного клада. Однако Стэнли удается раскрыть загадочную связь между сокровищами и проклятием, тяготеющим долгие годы над его семьей…","Стэнли отбывает наказание в лагере, где все зачем-то роют ямы. Юный Шайа ЛаБаф в оригинальной семейной комедии",,False,,FILM,pg,age12,[{'country': 'США'}],"['драма', 'детектив', 'приключения', 'комедия', 'семейный']",,,False,False,False,2022-09-08T01:44:28.43737,Клад
303,tt0305224,https://kinopoiskapiunofficial.tech/images/posters/kp/303.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/303.jpg,https://avatars.mds.yandex.net/get-ott/2439731/2a0000016fc862f72abb8859ea83cd81236f/orig,https://avatars.mds.yandex.net/get-ott/1672343/2a00000171ad1b0cb0e5ff0bd870d497881c/orig,6.2,https://www.kinopoisk.ru/film/303/,2003,106,Let the healing begin,"Скромному клерку отчаянно не везет. Парня по обвинению в нападении на бортпроводницу приговаривают к лечению у психиатра. Но верно говорят, что большинство психиатров сами немного безумны. Или сильно не в себе...",Тихоня Дэйв проходит терапию у доктора Бадди — и это сущее наказание. Джек Николсон учит жизни Адама Сэндлера ,,False,,FILM,r,age12,[{'country': 'США'}],"['мелодрама', 'комедия']",,,False,False,False,2022-08-22T01:01:18.36978,Управление гневом
304,tt0310910,https://kinopoiskapiunofficial.tech/images/posters/kp/304.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/304.jpg,,,6.6,https://www.kinopoisk.ru/film/304/,2003,97,"Это не про деньги, это про ДЕНЬГИ!!!","Джейк Вига – хитроумный и обаятельный мошенник. Последняя афера Джейка привела к тому, что его дорожки пересеклись с мафией – при помощи своей команды он лишил нескольких тысяч долларов Лайонела Долби, – счетовода эксцентричного мафиозного босса Уинстона Кинга по прозвищу «Король».

Мафия шутить не любит, а любит выбивать долги из тех, кто пытается ее надуть. Чтобы сохранить жизнь и расквитаться с долгами, Джейку приходится устроить новую, еще более изощренную аферу – сложнейшую схему, в которой требуется «творческий подход к бухгалтерии».

Неожиданные помехи появляются одна за другой: палки в колеса Джейку вставляют его старый враг, агент ФБР Гюнтер Бутан, Трэвис, правая рука «Короля» и хитроумная карманщица Лили на которую Джейк успел положить глаз...",,,False,,FILM,r,age16,"[{'country': 'США'}, {'country': 'Германия'}, {'country': 'Канада'}]","['триллер', 'криминал']",,,False,False,False,2022-08-29T13:43:11.364683,Афера
305,tt0183649,https://kinopoiskapiunofficial.tech/images/posters/kp/305.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/305.jpg,https://avatars.mds.yandex.net/get-ott/236744/2a000001616b88eb58e7cd279f0bfa94796b/orig,,7.1,https://www.kinopoisk.ru/film/305/,2002,81,Линия жизни на линии огня,"Один телефонный звонок может изменить всю жизнь человека или даже оборвать ее. Герой фильма Стью Шеферд становится пленником телефонной будки.

Что вы сделаете, если услышите, как в телефонной будке зазвонил телефон? Скорее всего, инстинктивно поднимете трубку, хотя прекрасно знаете, что кто-то просто ошибся номером. Вот и Стью кажется, что на звонок надо обязательно ответить, а в результате он оказывается втянутым в чудовищную игру. «Только положи трубку, и ты – труп», – говорит ему невидимый собеседник.",Стю попадает под прицел снайпера посреди Нью-Йорка. Колин Фаррелл в одном из лучших триллеров Джоэла Шумахера,,False,,FILM,r,age16,[{'country': 'США'}],"['триллер', 'криминал']",,,False,False,False,2022-08-23T18:54:25.22329,Телефонная будка
306,tt0292506,https://kinopoiskapiunofficial.tech/images/posters/kp/306.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/306.jpg,https://avatars.mds.yandex.net/get-ott/224348/2a0000016ab0521e5c5051d9cf835021ffaf/orig,,6.6,https://www.kinopoisk.ru/film/306/,2003,115,Trust. Betrayal. Deception. In the C.I.A. nothing is what it seems.,"Джеймс Клэйтон - студент и опытный хакер. Он привлекает внимание спецслужб, и его вербуют в ЦРУ, упоминая таинственное исчезновение его отца в 90-х. Джеймс обучается у Уолтера Бёрка. Он отлично сдает все тесты, кроме последнего. Так он становится агентом без прикрытия и получает задание: найти «крота», который похищает опасный вирус из Лэнгли.",Американская разведка вербует талантливого программиста. Триллер с Аль Пачино в роли опытного агента ЦРУ,,False,,FILM,pg13,age16,"[{'country': 'США'}, {'country': 'Швейцария'}]","['триллер', 'боевик']",,,False,False,False,2022-08-22T08:43:54.487826,Рекрут
307,tt0328099,https://kinopoiskapiunofficial.tech/images/posters/kp/307.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/307.jpg,,,5.2,https://www.kinopoisk.ru/film/307/,2003,86,Ever feel like you don't belong?,"Не стоит ненавидеть его за то, кем он является. Или кем он не является. Все, чем хочет заниматься Брэд - или Би-рэд - разъезжать со своими дружками по Малибу и вести себя, как самый крутой черный рэппер в округе.

Но все вокруг знают, что паренек, лихо читающий рэп, родом из респектабельного квартала Малибу. И отец Брэда, Билл Глакман, кандидат в губернаторы, серьезно боится, что увлечение Би-рэда «черной» культурой может разнести в пух и прах его предвыборную кампанию.",,,False,,FILM,pg13,age12,[{'country': 'США'}],"['криминал', 'комедия']",,,False,False,False,2022-08-22T01:38:49.585465,Разыскиваются в Малибу
308,tt0329028,https://kinopoiskapiunofficial.tech/images/posters/kp/308.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/308.jpg,,,3.4,https://www.kinopoisk.ru/film/308/,2003,85,Тупой с первого взгляда,"Как же встретились два героя-недоумка Гарри и Ллойд, известные по фильму «Тупой и еще тупее»? Оба несколько лет не ходили в школу, а учились на дому. Пришло время отправляться в школу, и прямо на улице Гарри и Ллойд столкнулись лбами...

А в это время школьный директор Коллинз и мисс Хеллер, буфетчица-официантка школьной столовой, задумали провернуть аферу - получить благотворительную премию в сто тысяч долларов за организацию класса для умственно отсталых. Злоумышленники решили создать липовый класс. Два кандидата в спецкласс нашлись сразу - Гарри и Ллойд, а они разыскали остальных...",,,False,,FILM,pg13,age16,[{'country': 'США'}],['комедия'],,,False,False,False,2022-08-23T19:01:13.477325,Тупой и еще тупее тупого: Когда Гарри встретил Ллойда
309,tt0238380,https://kinopoiskapiunofficial.tech/images/posters/kp/309.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/309.jpg,https://avatars.mds.yandex.net/get-ott/236744/2a0000016224ef2ca8a8f393012cce864528/orig,https://avatars.mds.yandex.net/get-ott/2385704/2a0000017250363bab4e007fd15983fae79c/orig,7.4,https://www.kinopoisk.ru/film/309/,2002,107,"Мир, где эмоции караются смертью","В будущем люди лишены возможности выражать эмоции. Это цена, которую человечество платит за устранение из своей жизни войны. Теперь книги, искусство и музыка находятся вне закона, а любое чувство — преступление, наказуемое смертью.

Для приведения в жизнь существующего правила используется принудительное применение лекарства прозиум. Правительственный агент Джон Престон борется с теми, кто нарушает правила. В один прекрасный момент он забывает принять очередную дозу лекарства, и с ним происходит духовное преображение, что приводит его к конфликту не только с режимом, но и с самим собой.","Агент идет против системы, которая подавляет эмоции. Стильная антиутопия с Кристианом Бэйлом",,False,,FILM,r,age16,[{'country': 'США'}],"['триллер', 'драма', 'фантастика', 'боевик']",,,False,False,False,2022-08-21T12:11:28.496666,Эквилибриум
310,tt0317303,https://kinopoiskapiunofficial.tech/images/posters/kp/310.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/310.jpg,,,5.6,https://www.kinopoisk.ru/film/310/,2003,89,D-Day Is Coming,"Чарли и Фила увольняют с работы в крупной корпорации. Теперь им самим придётся сидеть со своими сыновьями, так как оплачивать счета дорогостоящего детского центра уже не на что. Промучившись пару недель со своими отпрысками, папаши так увлекаются этим делом, что решают поставить дело на деловые рельсы и открывают новый центр дневного пребывания для детей. 

Чарли и Филл находят всё новые и новые нетрадиционные и забавные способы воспитательного воздействия на малышей, и центр «Дежурный папа» становится всё более популярным. Почувствовав жёсткое соперничество со стороны усатых няней, директриса дорогого детского центра решает выжить конкурентов-новичков из бизнеса.",,,False,,FILM,pg,age6,[{'country': 'США'}],"['комедия', 'семейный']",,,False,False,False,2022-08-29T13:33:11.159441,Дежурный папа
311,tt0245803,https://kinopoiskapiunofficial.tech/images/posters/kp/311.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/311.jpg,,,5.4,https://www.kinopoisk.ru/film/311/,2003,104,"To fulfill the prophecy, he must find the one to take his place","Монах - мастер боевых искусств, который охраняет могущественный древний свиток - таинственный артефакт, содержащий ключ к безграничной власти. Монаху нужно найти следующего хранителя свитка, и поиски приводят его в Америку. Согласно древнему пророчеству и к изумлению Монаха его преемником оказывается обаятельный хулиган по имени Кар.

Пока Монах обучает Кара, как выполнять свою работу, этому невероятному дуэту приходится защищать свиток от одержимого жаждой власти человека, который гоняется за ним 60 лет.

В суматохе невероятной акробатики, схваток с применением боевых искусств и остроумных шуток эта комическая странная парочка должна сделать всё, чтобы свиток не попал в руки злодея.",,,False,,FILM,pg13,age12,"[{'country': 'США'}, {'country': 'Канада'}]","['боевик', 'фэнтези', 'комедия']",,,False,False,False,2022-09-09T18:23:57.685287,Пуленепробиваемый
